Designator,Mid X,Mid Y,Rotation,Layer
D1_2,252.332618,-58.016667,90.0,bottom
D1,-21.9775,-57.995,90.0,bottom
D10_2,214.332618,-71.466667,90.0,bottom
D10,16.0225,-71.445,90.0,bottom
D11_2,195.332618,-71.216667,90.0,bottom
D11,35.0225,-71.195,90.0,bottom
D12_2,53.8975,-78.795,90.0,bottom
D12,176.457618,-78.816667,90.0,bottom
D13_2,157.557618,-78.691667,90.0,bottom
D13,72.7975,-78.67,90.0,bottom
D14_2,139.157618,-78.491667,90.0,bottom
D14,91.1975,-78.47,90.0,bottom
D15_2,252.282618,-95.766667,90.0,bottom
D15,-21.9275,-95.745,90.0,bottom
D16_2,-3.1025,-95.895,90.0,bottom
D16,233.457618,-95.916667,90.0,bottom
D17_2,214.282618,-90.366667,90.0,bottom
D17,16.0725,-90.345,90.0,bottom
D18_2,34.9975,-90.195,90.0,bottom
D18,195.357618,-90.216667,90.0,bottom
D19_2,53.8725,-90.245,90.0,bottom
D19,176.482618,-90.266667,90.0,bottom
D2_2,-2.9775,-58.02,90.0,bottom
D2,233.332618,-58.041667,90.0,bottom
D20_2,72.8475,-95.82,90.0,bottom
D20,157.507618,-95.841667,90.0,bottom
D21_2,139.357618,-98.091667,90.0,bottom
D21,90.9975,-98.07,90.0,bottom
D22_2,-21.9775,-114.845,90.0,bottom
D22,252.332618,-114.866667,90.0,bottom
D23_2,233.207618,-114.741667,90.0,bottom
D23,-2.8525,-114.72,90.0,bottom
D24_2,16.1225,-109.37,90.0,bottom
D24,214.232618,-109.391667,90.0,bottom
D25_2,34.8725,-109.17,90.0,bottom
D25,195.482618,-109.191667,90.0,bottom
D26_2,176.582618,-109.341667,90.0,bottom
D26,53.7725,-109.32,90.0,bottom
D27_2,72.9975,-114.845,90.0,bottom
D27,157.357618,-114.866667,90.0,bottom
D28_2,45.5475,-139.32,90.0,bottom
D28,184.807618,-139.341667,90.0,bottom
D29_2,68.1725,-139.345,90.0,bottom
D29,162.182618,-139.366667,90.0,bottom
D3_2,16.0975,-52.445,90.0,bottom
D3,214.257618,-52.466667,90.0,bottom
D30_2,73.0225,-120.47,90.0,bottom
D30,157.332618,-120.491667,90.0,bottom
D4_2,195.407618,-52.391667,90.0,bottom
D4,34.9475,-52.37,90.0,bottom
D5_2,176.482618,-58.516667,90.0,bottom
D5,53.8725,-58.495,90.0,bottom
D6_2,157.532618,-64.066667,90.0,bottom
D6,72.8225,-64.045,90.0,bottom
D7_2,91.2725,-64.07,90.0,bottom
D7,139.082618,-64.091667,90.0,bottom
D8_2,252.282618,-76.966667,90.0,bottom
D8,-21.9275,-76.945,90.0,bottom
D9_2,233.357618,-77.016667,90.0,bottom
D9,-3.0025,-76.995,90.0,bottom
MOUSE-BITE-3MM-SLOT_3,115.175,-98.931,270.0,bottom
MOUSE-BITE-3MM-SLOT_2,115.15,-107.856,270.0,bottom
MOUSE-BITE-3MM-SLOT,115.15,-116.881,270.0,bottom
S1_2,-31.6025,-59.87,0.0,top
S1,261.757618,-59.891667,0.0,top
S10_2,223.732618,-73.366667,0.0,top
S10,6.4225,-73.345,0.0,top
S11_2,204.657618,-71.241667,0.0,top
S11,25.4975,-71.22,0.0,top
S12_2,44.2475,-73.47,0.0,top
S12,185.907618,-73.491667,0.0,top
S13_2,166.957618,-78.891667,0.0,top
S13,63.1975,-78.87,0.0,top
S14_2,82.1475,-81.27,0.0,top
S14,148.007618,-81.291667,0.0,top
S15_2,261.757618,-97.741667,0.0,top
S15,-31.6025,-97.72,0.0,top
S16_2,242.757618,-97.791667,0.0,top
S16,-12.6025,-97.77,0.0,top
S17_2,6.4225,-92.195,0.0,top
S17,223.732618,-92.216667,0.0,top
S18_2,25.4975,-90.07,0.0,top
S18,204.657618,-90.091667,0.0,top
S19_2,185.907618,-92.341667,0.0,top
S19,44.2475,-92.32,0.0,top
S2_2,-12.6025,-59.92,0.0,top
S2,242.757618,-59.941667,0.0,top
S20_2,166.957618,-97.741667,0.0,top
S20,63.1975,-97.72,0.0,top
S21_2,82.1975,-100.07,0.0,top
S21,147.957618,-100.091667,0.0,top
S22_2,261.757618,-116.741667,0.0,top
S22,-31.6025,-116.72,0.0,top
S23_2,242.757618,-116.791667,0.0,top
S23,-12.6025,-116.77,0.0,top
S24_2,6.4225,-111.195,0.0,top
S24,223.732618,-111.216667,0.0,top
S25_2,204.657618,-109.091667,0.0,top
S25,25.4975,-109.07,0.0,top
S26_2,44.2475,-111.32,0.0,top
S26,185.907618,-111.341667,0.0,top
S27_2,63.1975,-116.695,0.0,top
S27,166.957618,-116.716667,0.0,top
S28_2,195.057618,-137.491667,0.0,top
S28,35.0975,-137.47,0.0,top
S29_2,173.164972,-139.762856,11.94,top
S29,56.990144,-138.706753,348.06,top
S3,223.707618,-54.391667,0.0,top
S30_2,80.379855,-133.144245,348.06,top
S30,149.775263,-134.200348,11.94,top
S4_3,204.657618,-52.241667,0.0,top
S4_2,6.4475,-54.37,0.0,top
S4,25.4975,-52.22,0.0,top
S5_2,44.2475,-54.47,0.0,top
S5,185.907618,-54.491667,0.0,top
S6_2,63.1975,-59.87,0.0,top
S6,166.957618,-59.891667,0.0,top
S7_2,82.1975,-62.27,0.0,top
S7,147.957618,-62.291667,0.0,top
S8_2,-31.6025,-78.87,0.0,top
S8,261.757618,-78.891667,0.0,top
S9_2,242.757618,-78.941667,0.0,top
S9,-12.6025,-78.92,0.0,top
U1_2,126.2,-68.666667,0.0,bottom
U1,104.2325,-68.525,0.0,bottom
