Designator,Mid X,Mid Y,Rotation,Layer
D1,196.932618,-51.15,90.0,bottom
D10,158.932618,-64.6,90.0,bottom
D11,139.932618,-64.35,90.0,bottom
D12,121.057618,-71.95,90.0,bottom
D13,102.157618,-71.825,90.0,bottom
D14,83.757618,-71.625,90.0,bottom
D15,196.882618,-88.9,90.0,bottom
D16,178.057618,-89.05,90.0,bottom
D17,158.882618,-83.5,90.0,bottom
D18,139.957618,-83.35,90.0,bottom
D19,121.082618,-83.4,90.0,bottom
D2,177.932618,-51.175,90.0,bottom
D20,102.107618,-88.975,90.0,bottom
D21,83.957618,-91.225,90.0,bottom
D22,196.932618,-108.0,90.0,bottom
D23,177.807618,-107.875,90.0,bottom
D24,158.832618,-102.525,90.0,bottom
D25,140.082618,-102.325,90.0,bottom
D26,121.182618,-102.475,90.0,bottom
D27,101.957618,-108.0,90.0,bottom
D28,129.407618,-132.475,90.0,bottom
D29,106.782618,-132.5,90.0,bottom
D3,158.857618,-45.6,90.0,bottom
D30,101.932618,-113.625,90.0,bottom
D4,140.007618,-45.525,90.0,bottom
D5,121.082618,-51.65,90.0,bottom
D6,102.132618,-57.2,90.0,bottom
D7,83.682618,-57.225,90.0,bottom
D8,196.882618,-70.1,90.0,bottom
D9,177.957618,-70.15,90.0,bottom
S1,206.357618,-53.025,0.0,top
S10,168.332618,-66.5,0.0,top
S11,149.257618,-64.375,0.0,top
S12,130.507618,-66.625,0.0,top
S13,111.557618,-72.025,0.0,top
S14,92.607618,-74.425,0.0,top
S15,206.357618,-90.875,0.0,top
S16,187.357618,-90.925,0.0,top
S17,168.332618,-85.35,0.0,top
S18,149.257618,-83.225,0.0,top
S19,130.507618,-85.475,0.0,top
S2,187.357618,-53.075,0.0,top
S20,111.557618,-90.875,0.0,top
S21,92.557618,-93.225,0.0,top
S22,206.357618,-109.875,0.0,top
S23,187.357618,-109.925,0.0,top
S24,168.332618,-104.35,0.0,top
S25,149.257618,-102.225,0.0,top
S26,130.507618,-104.475,0.0,top
S27,111.557618,-109.85,0.0,top
S28,139.657618,-130.625,0.0,top
S29,117.764972,-132.896189,11.94,top
S3,168.307618,-47.525,0.0,top
S30,94.375263,-127.333681,11.94,top
S4,149.257618,-45.375,0.0,top
S5,130.507618,-47.625,0.0,top
S6,111.557618,-53.025,0.0,top
S7,92.557618,-55.425,0.0,top
S8,206.357618,-72.025,0.0,top
S9,187.357618,-72.075,0.0,top
U1,70.8,-61.8,0.0,bottom
